track_id,source_id,source_pack,archive_member,sha256,source_filename,source_title,artist,album,genre,release_year,duration_seconds,sample_rate_hz,channels,file_size_bytes,curated_path,source_collection,group_id,component_role,track_status,roblox_import_eligible,roblox_asset_id,upload_owner,moderation_status,normalized_volume_db,playback_start_seconds,playback_end_seconds,loop_start_seconds,loop_end_seconds,review_status,notes
TB_INTERIOR_BIRDECORATOR_DECORATE,TALLBEARD_MUSIC_LOOP_BUNDLE,music-loop-bundle-2024-q3,Interior Birdecorator Decorate.ogg,f641114df7624b20064e169caea8e77d61ec898c29f7cb819c5938e9c086729a,Interior Birdecorator Decorate.ogg,Decorate,Abstraction,Interior Birdecorator OST,New Age,2024,87.273,44100,2,3364232,music/curated/cohesive/2/Interior Birdecorator Decorate.ogg,cohesive,TB_INTERIOR_BIRDECORATOR,Standalone,Candidate,Yes,,,Not Uploaded,,,,,,Unreviewed,
TB_INTERIOR_BIRDECORATOR_EXPLORE,TALLBEARD_MUSIC_LOOP_BUNDLE,music-loop-bundle-2024-q3,Interior Birdecorator Explore.ogg,55fb15b882cd9f0ec84fb141d9573a19a157a341a8e50259ed674eee51f8d3c1,Interior Birdecorator Explore.ogg,Explore,Abstraction,Interior Birdecorator OST,New Age,2024,101.684,44100,2,3568274,music/curated/cohesive/2/Interior Birdecorator Explore.ogg,cohesive,TB_INTERIOR_BIRDECORATOR,Base,Candidate,Yes,,,Not Uploaded,,,,,,Unreviewed,
TB_INTERIOR_BIRDECORATOR_EXPLORE_CUTE,TALLBEARD_MUSIC_LOOP_BUNDLE,music-loop-bundle-2024-q3,Interior Birdecorator Explore_CUTE.ogg,87f3884775cee3643e4f3748d4d996f1b37d8c8c74e90f488d7fee3fa0512f0f,Interior Birdecorator Explore_CUTE.ogg,Decorate_CUTE,Abstraction,Interior Birdecorator OST,New Age,2024,101.684,44100,2,3565091,music/curated/cohesive/2/Interior Birdecorator Explore_CUTE.ogg,cohesive,TB_INTERIOR_BIRDECORATOR,Variant: Cute,Candidate,Yes,,,Not Uploaded,,,,,,Unreviewed,
TB_INTERIOR_BIRDECORATOR_EXPLORE_FESTIVE,TALLBEARD_MUSIC_LOOP_BUNDLE,music-loop-bundle-2024-q3,Interior Birdecorator Explore_FESTIVE.ogg,1c97edb91481c934566a0a20a42c4019f7525cbc6be1ebd3dbefe8ca78be8a12,Interior Birdecorator Explore_FESTIVE.ogg,Decprate_FESTIVE,Abstraction,Interior Birdecorator OST,New Age,2024,101.684,44100,2,3695592,music/curated/cohesive/2/Interior Birdecorator Explore_FESTIVE.ogg,cohesive,TB_INTERIOR_BIRDECORATOR,Variant: Festive,Candidate,Yes,,,Not Uploaded,,,,,,Unreviewed,
TB_INTERIOR_BIRDECORATOR_EXPLORE_SILLY,TALLBEARD_MUSIC_LOOP_BUNDLE,music-loop-bundle-2024-q3,Interior Birdecorator Explore_SILLY.ogg,4650ec489b16e2f8dd9ee2dd9e34c80b9a0a02bfab2bd2c432da2ef5b220569c,Interior Birdecorator Explore_SILLY.ogg,Decorate_SILLY,Abstraction,Interior Birdecorator OST,New Age,2024,101.684,44100,2,3736520,music/curated/cohesive/2/Interior Birdecorator Explore_SILLY.ogg,cohesive,TB_INTERIOR_BIRDECORATOR,Variant: Silly,Candidate,Yes,,,Not Uploaded,,,,,,Unreviewed,
TB_INTERIOR_BIRDECORATOR_MENU_IN,TALLBEARD_MUSIC_LOOP_BUNDLE,music-loop-bundle-2024-q3,Interior Birdecorator Menu_IN.ogg,77a94905e60f9c09dddf20bcc69cf02985a83e6d0b0921a534013413c27f79fa,Interior Birdecorator Menu_IN.ogg,Menu_IN,Abstraction,Interior Birdecorator OST,New Age,2024,43.636,44100,2,1906663,music/curated/cohesive/2/Interior Birdecorator Menu_IN.ogg,cohesive,TB_INTERIOR_BIRDECORATOR,Intro,Candidate,Yes,,,Not Uploaded,,,,,,Unreviewed,
TB_INTERIOR_BIRDECORATOR_MENU_LOOP,TALLBEARD_MUSIC_LOOP_BUNDLE,music-loop-bundle-2024-q3,Interior Birdecorator Menu_LOOP.ogg,28a3f62eddcea1e30817c04cd934df191d71ea9ca970b252b6834e5d564d84e3,Interior Birdecorator Menu_LOOP.ogg,Menu_LOOP,Abstraction,Interior Birdecorator OST,New Age,2024,32.727,44100,2,1615620,music/curated/cohesive/2/Interior Birdecorator Menu_LOOP.ogg,cohesive,TB_INTERIOR_BIRDECORATOR,Loop,Candidate,Yes,,,Not Uploaded,,,,,,Unreviewed,
TB_SKETCHBOOK_2024_12_18,TALLBEARD_MUSIC_LOOP_BUNDLE,music-loop-bundle-2024-q4,Sketchbook 2024-12-18.ogg,bf0a8d7f337c45b541db3e8a943d0b3dfcaf329833dacc379bcb0d4340321ed3,Sketchbook 2024-12-18.ogg,2024-12-18,Abstraction,Sketchbook,New Age,2024,57.121,44100,2,1660440,music/curated/end/Sketchbook 2024-12-18.ogg,end,,Standalone,Candidate,Yes,,,Not Uploaded,,,,,,Unreviewed,
TB_SKETCHBOOK_2024_12_26,TALLBEARD_MUSIC_LOOP_BUNDLE,music-loop-bundle-2024-q4,Sketchbook 2024-12-26.ogg,62e163b0fcba5fb5560aa5473b485eed3311b33fc447da592183107dde24ea2b,Sketchbook 2024-12-26.ogg,2024-12-26,Abstraction,Sketchbook,New Age,2024,64.000,44100,2,2223729,music/curated/end/Sketchbook 2024-12-26.ogg,end,,Standalone,Candidate,Yes,,,Not Uploaded,,,,,,Unreviewed,
TB_SKETCHBOOK_2024_08_21,TALLBEARD_MUSIC_LOOP_BUNDLE,music-loop-bundle-2024-q3,Sketchbook 2024-08-21.ogg,25379fcf124a57aa3a64ae076893eb2f61c3311125d68be3d7ab09aaa450b23c,Sketchbook 2024-08-21.ogg,2024-08-21,Abstraction,Sketchbook,Electronic,2024,65.455,44100,2,2144386,music/curated/finance/Sketchbook 2024-08-21.ogg,finance,,Standalone,Candidate,Yes,,,Not Uploaded,,,,,,Unreviewed,
