cue_id,track_id,candidate_role,rank,status,notes
CORE_EMERGENCE,TB_SKETCHBOOK_2024_07_07,Primary Candidate,,Needs Listening Review,Seeded from the original curation folder; not yet assigned.
CORE_EMERGENCE,TB_SKETCHBOOK_2025_12_17_CHILL,Primary Candidate,,Needs Listening Review,Seeded from the original curation folder; not yet assigned.
CORE_EMERGENCE,TB_SKETCHBOOK_2025_12_17_SOFT,Primary Candidate,,Needs Listening Review,Seeded from the original curation folder; not yet assigned.
INTRO_DESCENT,TB_SKETCHBOOK_2024_04_24_03,Primary Candidate,,Needs Listening Review,Seeded from the original curation folder; not yet assigned.
INTRO_DESCENT,TB_SKETCHBOOK_2025_11_23,Primary Candidate,,Needs Listening Review,Seeded from the original curation folder; not yet assigned.
INTRO_ORBIT,TB_SKETCHBOOK_2024_04_24_03,Primary Candidate,,Needs Listening Review,Seeded from the original curation folder; not yet assigned.
INTRO_ORBIT,TB_SKETCHBOOK_2025_11_23,Primary Candidate,,Needs Listening Review,Seeded from the original curation folder; not yet assigned.
OLD_GOO_BACKSTORY,TB_SKETCHBOOK_2024_07_07,Primary Candidate,,Needs Listening Review,Seeded from the original curation folder; not yet assigned.
OLD_GOO_BACKSTORY,TB_SKETCHBOOK_2025_12_17_CHILL,Primary Candidate,,Needs Listening Review,Seeded from the original curation folder; not yet assigned.
OLD_GOO_BACKSTORY,TB_SKETCHBOOK_2025_12_17_SOFT,Primary Candidate,,Needs Listening Review,Seeded from the original curation folder; not yet assigned.
REBIRTH_FINALE,TB_SKETCHBOOK_2024_12_18,Primary Candidate,,Needs Listening Review,Seeded from the original curation folder; not yet assigned.
REBIRTH_FINALE,TB_SKETCHBOOK_2024_12_26,Primary Candidate,,Needs Listening Review,Seeded from the original curation folder; not yet assigned.
