track_id,display_title,collection_id,audience_lane,energy,dialogue_safe,loop_quality,story_locked,favorite_enabled,status,notes
TB_INTERIOR_BIRDECORATOR_DECORATE,,INTERIOR_BIRDECORATOR,,,,,No,Yes,Needs Listening Review,
TB_INTERIOR_BIRDECORATOR_EXPLORE,,INTERIOR_BIRDECORATOR,,,,,No,Yes,Needs Listening Review,
TB_INTERIOR_BIRDECORATOR_EXPLORE_CUTE,,INTERIOR_BIRDECORATOR,,,,,No,Yes,Needs Listening Review,
TB_INTERIOR_BIRDECORATOR_EXPLORE_FESTIVE,,INTERIOR_BIRDECORATOR,,,,,No,Yes,Needs Listening Review,
TB_INTERIOR_BIRDECORATOR_EXPLORE_SILLY,,INTERIOR_BIRDECORATOR,,,,,No,Yes,Needs Listening Review,
TB_INTERIOR_BIRDECORATOR_MENU_IN,,INTERIOR_BIRDECORATOR,,,,,No,Yes,Needs Listening Review,
TB_INTERIOR_BIRDECORATOR_MENU_LOOP,,INTERIOR_BIRDECORATOR,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_12_18,,STORY,,,,,Yes,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_12_26,,STORY,,,,,Yes,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_08_21,,COMMERCE,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_09_25,,COMMERCE,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_11_30,,COMMERCE,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_12_15,,COMMERCE,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2025_11_26,,COMMERCE,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_07_04,,INDUSTRY,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_09_18,,INDUSTRY,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_10_30,,INDUSTRY,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_11_07,,INDUSTRY,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_12_05,,INDUSTRY,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2025_11_12,,INDUSTRY,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_04_24_03,,STORY,,,,,Yes,Yes,Needs Listening Review,
TB_SKETCHBOOK_2025_11_23,,STORY,,,,,Yes,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_07_07,,STORY,,,,,Yes,Yes,Needs Listening Review,
TB_SKETCHBOOK_2025_12_17_CHILL,,STORY,,,,,Yes,Yes,Needs Listening Review,
TB_SKETCHBOOK_2025_12_17_SOFT,,STORY,,,,,Yes,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_05_08,,GROUND,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_06_05_01,,GROUND,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_06_19,,GROUND,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_08_13,,GROUND,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_09_12,,GROUND,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2025_12_11_BREAKDOWN,,WORKBENCH,,,,,No,No,Needs Arrangement,
TB_SKETCHBOOK_2025_12_11_INTRO,,WORKBENCH,,,,,No,No,Needs Arrangement,
TB_SKETCHBOOK_2025_12_11_NEURO,,WORKBENCH,,,,,No,No,Needs Arrangement,
TB_SKETCHBOOK_2025_12_11_PIANO_BREAK,,WORKBENCH,,,,,No,No,Needs Arrangement,
TB_SKETCHBOOK_2025_12_11_VERSE,,WORKBENCH,,,,,No,No,Needs Arrangement,
TB_SKETCHBOOK_2024_07_19_L01,,WORKBENCH,,,,,No,No,Needs Arrangement,
TB_SKETCHBOOK_2024_07_19_L02,,WORKBENCH,,,,,No,No,Needs Arrangement,
TB_SKETCHBOOK_2024_07_19_L03,,WORKBENCH,,,,,No,No,Needs Arrangement,
TB_SKETCHBOOK_2024_07_19_L04,,WORKBENCH,,,,,No,No,Needs Arrangement,
TB_WEEK_5_SEVEN_REASONS_WHY_ARP,,WORKBENCH,,,,,No,No,Needs Arrangement,
TB_WEEK_5_SEVEN_REASONS_WHY_MELODY,,WORKBENCH,,,,,No,No,Needs Arrangement,
TB_SKETCHBOOK_2024_04_24_01,,SCIENCE,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_09_22,,SCIENCE,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_11_20,,SCIENCE,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_12_21,,SCIENCE,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2025_11_13,,SCIENCE,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2025_12_03,,SCIENCE,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_07_03,,UNIVERSAL,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_08_07,,UNIVERSAL,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_11_29,,UNIVERSAL,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2024_12_04,,UNIVERSAL,,,,,No,Yes,Needs Listening Review,
TB_SKETCHBOOK_2025_11_19,,UNIVERSAL,,,,,No,Yes,Needs Listening Review,
TB_WEEK_2_RUINED_LANDS_HOPE,,UNIVERSAL,,,,,No,Yes,Needs Listening Review,
